frame,r_lower_nm,r_upper_nm,g_r
0,0.0,0.025109216518055734,0.0
0,0.025109216518055734,0.05021843303611147,0.0
0,0.05021843303611147,0.07532764955416721,0.0
0,0.07532764955416721,0.10043686607222294,0.0
0,0.10043686607222294,0.12554608259027866,0.0
0,0.12554608259027866,0.15065529910833442,0.0
0,0.15065529910833442,0.17576451562639014,0.0
0,0.17576451562639014,0.20087373214444587,0.0
0,0.20087373214444587,0.2259829486625016,0.0
0,0.2259829486625016,0.2510921651805573,0.0
0,0.2510921651805573,0.2762013816986131,0.0
0,0.2762013816986131,0.30131059821666883,0.0
0,0.30131059821666883,0.32641981473472453,0.0
0,0.32641981473472453,0.3515290312527803,0.0
0,0.3515290312527803,0.376638247770836,0.0
0,0.376638247770836,0.40174746428889174,0.0
0,0.40174746428889174,0.4268566808069475,0.0
0,0.4268566808069475,0.4519658973250032,0.0
0,0.4519658973250032,0.47707511384305895,0.0
0,0.47707511384305895,0.5021843303611147,0.22116377153184408
0,0.5021843303611147,0.5272935468791704,1.0005862938851433
0,0.5272935468791704,0.5524027633972262,3.547788994014243
0,0.5524027633972262,0.5775119799152819,5.399147832672536
0,0.5775119799152819,0.6026211964333377,3.883446297287115
0,0.6026211964333377,0.6277304129513933,1.4011541550129614
0,0.6277304129513933,0.6528396294694491,0.12934283101887917
0,0.6528396294694491,0.6779488459875048,0.17964964165958733
0,0.6779488459875048,0.7030580625055606,0.0
0,0.7030580625055606,0.7281672790236163,0.0
0,0.7281672790236163,0.753276495541672,0.289943925681158
0,0.753276495541672,0.7783857120597277,0.3164519962781861
0,0.7783857120597277,0.8034949285777835,1.3138702994378284
1,0.0,0.025077457659555078,0.0
1,0.025077457659555078,0.050154915319110156,0.0
1,0.050154915319110156,0.07523237297866524,0.0
1,0.07523237297866524,0.10030983063822031,0.0
1,0.10030983063822031,0.1253872882977754,0.0
1,0.1253872882977754,0.15046474595733048,0.0
1,0.15046474595733048,0.17554220361688555,0.0
1,0.17554220361688555,0.20061966127644063,0.0
